书名,作者,页数,定价,出版社,出版年,ISBN,评分
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克,247,16.00,"中国社会科学出版社
原作名: The Road to Serfdom
译者: 王明毅 / 冯兴元 / 等",1997-08-01,9787500421368,8.8
书名,作者,页数,定价,出版社,出版年,ISBN,评分
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克,247,16.00,"中国社会科学出版社
原作名: The Road to Serfdom
译者: 王明毅 / 冯兴元 / 等",1997-08-01,9787500421368,8.8
沉默的大多数,王小波,216,35.00元,新经典文化/北京十月文艺出版社,2017-4,9787530216590,9.0
论自由,[英] 约翰·穆勒,186,32.00元,广西师范大学出版社,2011-9,9787549505210,9.4
容忍与自由,胡适 著 / 潘光哲 编,261,34.00元,"法律出版社
副标题: 胡适读本",2011-6-1,9787511817686,9.0
反自由的自由,馬華靈,[],[],"聯經
副标题: 伯林與施特勞斯的思想紛爭",2019-6,9789570853117,7.7
